//user moods translation

afraid	Испуг
amazed	Поражаюсь
angry	Голод
annoyed	Раздражение
anxious	Беспокойство
aroused	Пробуждение
ashamed	Стыд
bored	Скука
brave	Храбрость
calm	Спокойствие
cold	Холод
confused	Конфуз
contented	Удовлетворение
cranky	Расшатанность
curious	Любопытство
depressed	Депрессия
disappointed	Разачарование
disgusted	Отвращение
distracted	Растерянность
embarrassed	Стеснение
excited	Взволнованность
flirtatious	Кокетство
frustrated	Разбитость
grumpy	Сварливость
guilty	Виновность
happy	Счастье
hot	Горячая штучка
humbled	Унижение
humiliated	Оскорбление
hungry	Голод
hurt	Вред
impressed	Под впечатлением
in_awe	В страхе
in_love	Лямуррр
indignant	Возмущение
interested	Заинтересованность
intoxicated	Опъянение
invincible	Невидимка
jealous	Ревность
lonely	Одиночество
mean	Ни то, ни сё...
moody	Капризность
nervous	Нервозность
neutral	Никак...
offended	Оскорбили
playful	Игривость
proud	ГордитсЯ
relieved	Уменьшается...
remorseful	Раскаивается
restless	Беспокоится
sad	Грустит
sarcastic	Сарказм
serious	Сурьёзность
shocked	Шок
shy	Стесняется
sick	Болеет
sleepy	Сон
stressed	Стресс
surprised	Сюрприз!
thirsty	Жажда
worried	Волнуется
